beta,problem,run,IGD,IGDX
2.0,MMF2,2,0.0030259640648220136,0.007723280436668146
2.0,MMF2,3,0.0030045589822321073,0.007508371761189011
2.0,MMF2,4,0.0029267547293559317,0.009953854231122751
2.0,MMF2,5,0.003145692668218379,0.00866326732215446
2.0,MMF2,7,0.0029209982685722935,0.00981743397212791
2.0,MMF2,6,0.0030383892374233764,0.0067017880933533495
2.0,MMF2,8,0.0028968606766852163,0.007138417392311202
2.0,MMF2,11,0.0030473082485564912,0.009146455551500312
2.0,MMF2,10,0.002889267859423556,0.006862840121480337
2.0,MMF2,9,0.0029192298880380708,0.010166361594562969
2.0,MMF2,12,0.0030764141717140522,0.007575226643270781
2.0,MMF2,14,0.003203986798333899,0.006836314035112111
2.0,MMF2,13,0.003025424197920741,0.007161714879675994
2.0,MMF2,15,0.003236656341560333,0.008436999166424016
2.0,MMF2,17,0.0029935507452544022,0.03935857440624211
2.0,MMF2,16,0.0028439018227462373,0.006836821856702472
2.0,MMF2,18,0.002864049235479225,0.008672999231094984
2.0,MMF2,19,0.002831367227785846,0.017730374849373117
2.0,MMF2,20,0.0030068701606394124,0.012613018165929978
2.0,MMF2,21,0.003172527764715736,0.007183776874129523
2.0,MMF2,22,0.002804422823264065,0.007334121961484558
2.0,MMF2,23,0.002969526975843608,0.0067740556451681665
2.0,MMF2,24,0.0028892087834734223,0.010540620039863292
2.0,MMF2,25,0.0030956608794501157,0.0072646856936710875
2.0,MMF2,26,0.0029675705351753655,0.008831713756766679
2.0,MMF2,27,0.0031425028662248034,0.018202990821208794
2.0,MMF2,28,0.003144459591721415,0.00833806916505308
2.0,MMF2,29,0.0031053724795614035,0.0129903133620606
2.0,MMF5,1,0.002997142185385859,0.07664124866593928
2.0,MMF5,0,0.0033792327989602025,0.07741788984305238
2.0,MMF5,4,0.00399740837641023,0.07331705871150274
2.0,MMF5,2,0.0030867232593286913,0.07024596763294667
2.0,MMF5,3,0.002930316876174404,0.08109304017202427
2.0,MMF5,5,0.003120072645717711,0.07344094468237027
2.0,MMF5,6,0.0029888715736064797,0.0777270241261144
2.0,MMF5,7,0.0030517815852077936,0.07180642205024433
2.0,MMF5,8,0.0029739303587969033,0.0782479223454338
2.0,MMF5,9,0.0036923866390741722,0.0746194303481615
2.0,MMF5,11,0.002855029759013699,0.0807482288862195
2.0,MMF5,10,0.0032535743978134584,0.07405226561950688
2.0,MMF5,12,0.003017515899362673,0.07036933722599233
2.0,MMF5,13,0.003371734343070659,0.07747435290928067
2.0,MMF5,14,0.0030187937222687397,0.07478952147131787
2.0,MMF5,16,0.0027438730606465967,0.07209461804744574
2.0,MMF5,15,0.003141162378438965,0.08040219034136854
2.0,MMF5,17,0.0029093860731124626,0.07220889786887684
2.0,MMF5,18,0.0028515506675580848,0.07049405110187827
2.0,MMF5,19,0.002962972368919798,0.06769919054351581
2.0,MMF5,20,0.002968938162059365,0.06781002798886873
2.0,MMF5,21,0.0029626994895432823,0.06838790822257433
2.0,MMF5,22,0.0030889636563525835,0.07134741521313137
2.0,MMF5,23,0.0029809437427767136,0.0740318045425394
2.0,MMF5,24,0.0028028222024447133,0.0745688356063475
2.0,MMF5,26,0.0031577508367955955,0.07436804051426918
2.0,MMF5,25,0.00340104123901841,0.08030778329140816
2.0,MMF5,27,0.003133441683262642,0.07358458026338785
2.0,MMF5,28,0.003172079961774573,0.06966420332391018
2.0,MMF5,29,0.0032360515968457193,0.06906370756321088
